adversarial_jargon,restored,transform_type
汼汼,牛牛,1 4
补渔,捕鱼,1 4
注卌,注册,4
浔,寻,1 4
ν,微信,3 10
絔稼乐,百家乐,4
埔渔,捕鱼,1 4
帧任,真人,1 4
咋琻埖,炸金花,1 4
牜妞,牛牛,1 4
住侧拵,注册存,1 4
维信,微信,1
彩唫,彩金,1 4
唫花,金花,1 4
哺渔,捕鱼,1 4
眞人视迅,真人视讯,1 4
卜漁,捕鱼,1 4
冲/给/386,充值386元,1 4 8 10
嫲/姜,麻将,1 4 8 10
咋巾花,炸金花,1 4
柏嫁勒.,百家乐,1 10
28～888嚸,28～888点,1 4 10
颂,送,1
哩品,礼品,1
粸牌,棋牌,1 4
紅笣,红包,1 4
朂篙,最高,1 4
粸牌,棋牌,1 4
牜牜,牛牛,4
攏俿,龙虎,1 4
扎琻錵,炸金花,1 4
贈38,赠38元,1 4
垨崇,首充,1
綵神爺,彩神爷,1 4
pt銭銭,PT赢钱,3 4
再玛,在吗,1 4
餸伱,送你,1 4
55￥,55元,10
蕞镐,最高,1 4
克幅紷蕖cf,客服领取,1 3 4
評价,评价,4
快/次,元/次,6 4
魚多多,捕鱼多多,4
銭多多,钱多多,4
妞妞.轧今哗,妞妞炸金花,1 4 10
扑魚,捕鱼,4
蛉棷,领取,1 4
niuniu,牛牛,2
彪彪,炸金花,7
渔漁,捕鱼,4
秒德,秒到账,7
sòng,送,2
徽信,微信,4
杪下,秒下,1
扣,QQ,1
電孑,电子,4
捕瑜,捕鱼,1
其排,棋牌,1 4
扭扭,牛牛,1
領67园,领67元,4
璔送,赠送,1 4
大红苞,红包,1 4
煮.ce,注册,1 2 10
悑鲸,捕鱼,1 4
咋今花,炸金花,1 4
佰家楽,百家乐,1 4
钮儿丶嚸,牛牛点,1 4 10
电皖,电玩,1
莎余,捕鱼,1 4
骐排,棋牌,1 4
送①②⑦⑦⑦,送12777,10
送⑧⑧⑧,送888,10
鯆.渔,捕鱼,1 4 10
菳.錵,金花,1 4 10
扭.扭,牛牛,1 10
泷.唬,龙虎,1 4 10
柱策,注册,1 4
哺漁,捕鱼,1 4
僖渔佬,喜鱼佬,1 4
洤屛,全屏,1 4
禮金,礼金,4
嚸,点,1 4
注册送18块,注册赠送18元,6
群里$有抽奖送红包,群里有抽奖送红包,10
KY粸牌,KY棋牌,1 4
贈,赠,4
稳賺,稳赚,4
瀭苞,输包,1 4
賠本唫,赔本金,1 4
賺.钱,赚钱,4 10
韦,微信,7
茽姐,总姐,4
包培,包陪,1 4
其排,棋牌,1
宋,送,1
岭,领,1 4
１８-８８８８,188888,10
領专“鼠”福利,领专属福利,1 4 10
6盒,六合彩,1 4 10
亚搏,赌博,1 4 7
bu渔,捕鱼,2
鑫錵,金花,1 4
祝测,注册,1
必㮸,必中,4
55￥,55元,10
实荔品哌珠策,实力品牌注册,1 4
杁,入,4
粸牌,棋牌,1 4
贈8888,赠8888元,4
粸牌,棋牌,1 4
嶺,领,1
岀姿,出资,1 4
历,力,1 4
邦玳构綵嘌,帮代购彩票,1 4
玥扖倆杤,月入两万,1 4
稘俳,棋牌,1 4
轧菳埖,炸金花,1 4
哺雨,捕鱼,1 4
巃琥,龙虎,1 4
鯆余,捕鱼,1 4
钭哋柱,斗地主,4
琻哗,金花,4
杤人,玩人,4
ＱＱ群,QQ群,10
放窾鵝度,贷款额度,1 4 6
伸请,申请,4
园,元,4
登,登录,2
采票,彩票,4
漏冻,漏洞,4
稳钟保赢,稳赚不赔,4 6
加威,加微信,1 2
稳賺,稳赚,4
瀭苞,输包,4
唫,金,4
賺.钱,赚钱,4 10
理財,理财,4
カロ,加,4 5
V,微信,3
一肖三騳,一肖三码,4
6閤踩,六合彩,1 4 10
淇,期,4
靓釹佳微,靓女加微信,1 4 7
絻費,免费,4
狩费,收费,1
和多号,赌博平台,7
副号,备用联系方式,7
鴻運新遊,鸿运新游戏,4 7
禮金,彩金,6
沖,充,1
宋,送,1
雙重工資,双重工资,4
主策聆,注册领,1 4
琻,金,4
媞,是,4
寸,存,4
宋,送,1
一水Q,一水群,3
粸牌,棋牌,1 4
贈678,赠678,4
扎金椛,炸金花,1 4
卜魚,捕鱼,1 4
笼虍,龙虎,1 4
吽吽,牛牛,4
攸戏,游戏,1
下傤,下载,1
葱贝,充值,4 7
曾,赠,1 4
注册送18块,注册赠送18元,6
名额有@限,名额有限,8 10
伍佰Wx,500元微信,2 10
粸牌,棋牌,1 4
贈888,赠888元,4
贷款申请审核以通过,诈骗贷款申请通过,7
在线客服,诈骗客服,7
帺徘,棋牌,1 4
注卌,注册,4
松,送,1
徽信,微信,4
提款,提现,6
充/给/369,充值369,8 10
主册,注册,4
宋,送,1
既有,即可,4
啋琻,彩金,4
剋服,客服,1
AG,AG平台（博彩平台）,3
电子,电子博彩游戏,6
QP,棋牌,2
B鱼,捕鱼,2
菜金,彩金,1 4
粸牌,棋牌,1 4
贈888圆福莉,赠888元福利,1 4
補渔,捕鱼,1 4
扎琻椛,炸金花,1 4
犇牪,牛牛,4
粸牌,棋牌,1 4
158￥,158元,10
q到,起到,2
旗棑,棋牌,1 4
佰加勒,百家乐,1 4
卜渔,捕鱼,1
逗第煮,斗地主,1 4
笼唬,龙虎,1
今花,金花,1 4
柱册,注册,1
匆,充,4
颂,送,1
赚零花,通过阅读资讯获得小额奖励,6
金币,虚拟货币或积分,6
骑︱派,棋牌,1 10
珠策,注册,1
偍岘妙道,提现秒到,1 4
宠①00送①00,充100送100,1 10
补余,捕鱼,1 4
纽钮,牛牛,1
今花,金花,1 4
垹,帮,1 4
掟,定,4
宋,送,1
嚸,点,4
呺,号,4
鎹,送,1
氺,水,4
伶,领,1
采票,彩票,1 4
計劃,计划,4
俬帶,私带,4
＋V,加微信,3 10
賺,赚,4
瀭苞,输包,1 4
唫,金,4
理財,理财,4
米乐,米乐博彩平台,6
邀沖,邀请充值,1 6
宋,送,1
躰淯,体育,1 4
苞培,包赔,1 4
球球,QQ,1
威ni斯,威尼斯人,2
苹台,平台,1 4
伙动转员,活动专员,1 4
偅汏潑哯,重大活动,4
巳晉圱V·I·P嘉濱,已晋升VIP嘉宾,1 4 8
憕叺,请进,4
掫555囩,赠555元,4
九龙至尊,赌博网站,7
仲,中,1 4
V.╳,微信,3 10
咋金誮,炸金花,1 4
逋魚,捕鱼,4
龙虒,龙虎,4
妞妞,牛牛,1
住策,注册,1 4
贈68,赠68元,4
葱贈2888,赠送2888元,4 8
咋金椛,炸金花,1 4
妞妞,牛牛,1
逋魚,捕鱼,4
立缯,立赠,4
沅,元,4
沖,充,1
增,赠,4
瞪碌,登录,4
钭底注,斗地主,4
汼汼,牛牛,4
哺渔,捕鱼,4
咋唫椛,炸金花,4
賺,赚,4
瀭苞,输包,4
唫,金,4
理財,理财,4
豫饹,娱乐,1
汼汼,牛牛,4
百+楽,百乐,4 10
龍唬,龙虎,4
澧苞,礼包,1 4
芫,元,1 4
領,领,4
茺,充,1 4
餸,送,1
铃取,领取,1 4
采神丸,彩票,4 5
采票漏冻,彩票漏洞,1 4
稳钟保赢,稳赚不赔,6
加威,加微信,1
采票,彩票,1 4
叁万,三万,4
+V,+微信,3 10
諆簰,棋牌,4
白鎵樂,百家乐,1 4
仆漁,捕鱼,4
胧俿,龙虎,1 4
cp,彩票,2
包婄,包赔,4
佳薇,加微信,1 4
抖低注,斗地主,1 4
汼汼,牛牛,4
咋唫椛,炸金花,4
哺渔,捕鱼,1 4
电仔网扯,电子网站,4
戚铌嘶,棋牌,4
柱卌,注册,1 4
拵宋,存送,1 4
玲取,领取,4
麒☼牌,棋牌,1 4 10
蹴☼岭,注册,4 10
苞☼嬴,包赢,1 4 10
逋☼魚,捕鱼,1 4 10
唫☼糀,金花,4 10
牜☼牜,牛牛,4 10
幅俐,福利,1 4
柱策镬,注册活动,1 4
卜🐟,捕鱼,1 9
牪今🌺眞人,现金真人,4 9
缇,提,1 4
噔录,登录,1 4
翎取797沅,领取797元,1 4
粸牌,棋牌,1 4
紅笣,红包,1 4
朂篙,最高,1 4
墺迪粸牌,澳迪棋牌,1 4
嶺,领,1
湃,派,1
菿,到,1 4
確認,确认,4
獲嘚,获得,1 4
え,元,10
可堤,可提,1 4
尨虒蚪,蒙特卡罗,4
祚釙芘,炸金花,4
兜哋拄,斗地主,1 4
奔池寳,奔驰宝,1 4
骉镁め帯,宝马美带,1 4 10
伱嗨,你嗨,1 4
豪礼x到,豪礼送到,3
珈徽,加微信,1 4
长骐б个号数,长期保号,4 10
国彩,非法彩票,7
陪率,赔率,1 4
彩鑫,彩金,4
崴尼斯人,威尼斯人,4
㤆水,返水,4
入款,存款,6
粸牌,棋牌,1 4
贈,赠,4
紅笣,红包,1 4
朂篙,最高,1 4
亚搏岭,亚博博彩,1 4
娶58体验,取58元体验,1 4
拇指戳,点击,6
瑨升,晋升,1 4
確认,确认,4
獲嘚,获得,1 4
缇,提,1 4
錵,花,1 4
逋渔,捕鱼,1 4
拢虒,龙虎,4
扭纽,牛牛,1
MM,美女,3
冲业/务,刷业务,6 8 10
V信,微信,3
天猫彩店,非法彩票店,7
APP闪退,应用程序故障,3 6
纽钮,牛牛,1
今花,金花,1 4
絔家嘞,百家乐,1 4
崧,送,1
戦,战,4
爱购彩,非法彩票,7
现唫,现金,4
碦服,客服,1 4
网扯,网址,4
至尊号,高级会员账号,6
礼包码,优惠码,6
粸簰,棋牌,1 4
嘉滨,嘉宾,1 4
嶺,领,1 4
w威,微信,1 2 3
倛-尼︱馈︱籽︱排,棋牌,1 4 10
斯︱客︱遊︱卜,捕鱼,1 10
鮽铳100赠88,充值100赠88,1 4
琪牌,棋牌,1 4
領取,领取,1 4
９粸牌,棋牌,1 4 10
红苞,红包,1 4
鲍鮽,捕鱼,1 4
妞妞,牛牛,1
瀛,赢,1 4
領,领,1 4
亚盘,亚洲盘口,6
乐都城,博彩网站,6
註冊,注册,1 4
宋58亞博體驗,送58亚博体验,1 4
穩單,稳单,1 4
玛,码,1 4
餸伱,送你,1 4
55￥,55元,10
库搏軆育,库博体育,1 4
炮迷,博彩迷,7
手游,手机游戏赌博,6
棋开得胜,赌博胜利,7
朂高,最高,4
徽信,微信,4
奧閄帾畼,澳门赌场,1 4
䋞上伯嫁楽,线上百家乐,4
荖唬僟,老虎机机,1 4
冲植贈,充值赠,1 4
玛,吗,1
餸伱,送你,1 4
55￥,55元,10
Ln1,加微信,3
亞搏,亚博,1 4
註冊,注册,1 4
頌,送,1
福禮,福利,1 4
特遥v1p,特邀VIP,1 10
佰十乐,百家乐,1 4
妙提妙到,秒提秒到,1
苹苔,平台,1 4
柱冊,注册,1 4
熷,赠,4
兌,兑,4
及时雨,贷款或资金服务,7
客服Q,客服QQ,3
祈.福.礼,博彩活动,7 8 10
晶..伴.您.前.行,博彩网站宣传,8 10
粸牌,棋牌,1 4
ygT,游戏厅,2
储备金,贷款或资金诈骗,7
戳,点击,6
翎,零,1
其棑,棋牌,1 4
补余,捕鱼,1 4
琻椛,金花,1 4
視训,视讯,1 4
茺宋,充值送,1 4
驻冊宋,注册送,1 4
其簰,棋牌,1 4
註冊,注册,4
頌,送,1
卟漁,捕鱼,1 4
絔嘉泺,百家乐,1 4
咋唫誮,炸金花,1 4
汼汼,牛牛,4
vip会员,会员,3
亞搏,亚博,1 4
首侟,首存,1 4
紅利,红利,4
稳单,稳定的赌单,6
好運,好运,4
粸牌,棋牌,1 4
芫,元,1 4
嶺,领,1
佣戸,用户,1 4
反力,返利,1 4
虚得ek,虚的ek,4
赚大钱,赌博盈利,6
惘址,网址,1 4
注,注册,6
側淞,彩金,4
签@,签到,10
菿淞,到账,4
愘,客服,4
腹办,副本,1 4
哩「太陽诚」,里“太阳城”,1 4 10
采票,彩票,1 4
棈痽計劃,精准计划,4
俬帶,私带,1 4
裙,群,1 4
威,微信,1
磴路,登陆,1 4
紷,送,4
qu18-168,网址,3 10
戳tp6b.cn/3daw,点击链接,6
粸牌,棋牌,1 4
咋金誮,炸金花,1 4
逋魚,捕鱼,1 4
龙虒,龙虎,4
䒜䒜,牛牛,4
蝣戏,游戏,1 4
守冲,首充,1
菳,金,4
虾傤,下载,1 4
住册,注册,1 4
扑雨,捕鱼,4
视汛,视讯,1 4
尨錿,麻将,4
百佳勒,百家乐,1
黑紅,黑红,4
扭妞,牛牛,1 4
珄-垏-膏,新-开-高,1 4
兜笛竹,斗地主,1
布渝,捕鱼,1
徕僦诵,来就送,1 4
卟余,捕鱼,1
妞妞都蒂祝,牛牛斗地主,1
点2vj.cn/5PZR55,点击链接,3 10
回T退订,回复T退订,2
盈哆哆,赢多多,1 4
俞哆哆,余多多,1 4
嫲江,麻将,1 4
珑hu,龙虎,1 2
①①⑦元,117元,10
玛,码,1
餸伱,送你,1 4
55￥,55元,10
墺迪粸牌,奥迪棋牌,1 4
嶺,领,1 4
唫硰,金沙,4
帾塲,赌场,1 4
澚門噺匍椋,澳门新葡京,1 4
刌,存,1
牜牜,牛牛,4
哺魚,捕鱼,1 4
斗哋宔,斗地主,4
旗牌,棋牌,1 4
洦万荭包,百万红包,4
点客网扯,点击网址,4
柱冊,注册,1 4
宋,送,1
寸,存,4
亚搏,亚博,1 4
住册岭,注册领,1 4
推健,推荐,1
㮸,加,1 4
え,群,10
錢多多,钱多多,4
镁妞,美女,1 4
牪,牛,4
錵,花,1 4
哺渝,捕鱼,1 4
札琻,炸金花,1 4
沅,元,4
琪棑,棋牌,1 4
佰枷勒,百家乐,1 4
汼汼,牛牛,1 4
哺渔,捕鱼,1 4
抖第祖,斗地主,1 4
泷唬,龙虎,1 4
唫椛,金花,1 4
祝册颂,注册送,1
茺100松28,充100送28,1 4
罔红,网红,1 4
刓,玩,1 4
平苔,平台,1 4
驻册,注册,1
满即提,满足条件即可提现,6
新/葡/京,新葡京,8 10
注卌,注册,4
茺值,充值,1 4
苞賠,包赔,1 4
茺,充,1 4
䒚,多,4
葳苨䔮,微信,1 4
戳,点击,6
AРР,APP,4
贈１５,赠15元,4
首充贈１００%,首次充值赠送100%,4 6
老俿机,老虎机,4 6
粸牌㩐遊戯,棋牌类游戏,4
粸牌,棋牌,4
咋金誮,炸金花,4
逋魚,捕鱼,4
龙虒,龙虎,4
䒜䒜,牛牛,4
蝣戏,游戏,1
下傤,下载,4
贈609,赠送609,4 6
守冲贈100%,首充赠送100%,4 6
鱼潮来了,捕鱼游戏,6
亚搏88,亚博博彩,4
戳,点击,6
领娶,领取,4
推单,推荐投注单,6
玛,吗,4
餸伱,送你,1 4
55￥,55元,10
琪|排|岼珆,棋牌,1 4 5 10
牜|牜,牛牛,4 10
斤|花,金花,1 10
鎹③③③oRul,送333元,1 3 10
粸牌,棋牌,1 4
得158￥,得158元,10
葳尼撕人,微信私人,1
商务伴侣,陪侍服务,6
顽法,玩法,1
冕領,领取,4
９９９+,999元,10
葒苞,红包,1 4
贈678圆,赠678元,4 6
牜牜,牛牛,4
哺魚,捕鱼,1 4
斗哋宔,斗地主,1 4
粸簰,棋牌,1 4
彩金,博彩奖金,6
泳鹏,永鹏,1 4
微信xzy3668,微信号 xzy3668,8
宋,送,1
拾中久,十中九,1 4
蹬路,登录,1 4
粸牌,棋牌,1 4
嶺,领,1
淇排,棋牌,1 4
卟鱼,捕鱼,1
抖帝驻,斗地主,1 4
砸精花,炸金花,4
【为/尼/斯】,威尼斯人,4 8 10
惘址,网址,1 4
注,注册,6
側淞,彩金,4
菿淞,到彩金,4
愘,客服,1 4
腹办,副本,1 4
哩,里,1 4
太陽诚,太阳城,1 4
彩金,博彩赠款,6
包赔,保证赔偿,6
qi徘,棋牌,1 2
嶺,领,1 4
旗簰,棋牌,1 4
渔佈,捕鱼,1 4 8
妞纽,牛牛,1
地抖主,斗地主,1 4 8
茄百楽,百家乐,4 8
錵菳,花金,4
莱颂,来送,1 4
粉丝充场,虚假观众或参与者,6
微信17310085254,微信联系方式,6
麒排,棋牌,1 4
囎,赠,1 4
栢嘉嘞,百家乐,1 4
電/子,电子,4 10
题现妙/到,提现秒到,1 10
Whatsthesimplestmеаnstoearn56766amonth,What is the simplest means to earn 56766 a month,4 8
苔诵,台送,1 4
冲诵,充值送,1
美/高/梅,美高梅,8 10
柱卌茺值彩唫,注册充值彩金,1 4
+/：vs38678铃取,添加微信：vs38678领取,1 4 8 10
旗牌,棋牌,1 4
客网扯,官网,4
洦万荭包,百万红包,1 4
HiTY镁,会员,3
逋,捕,4
淦钕,捕鱼,4
鲨,杀,1 4
埖再,花呗,4
䒜,菜,1 4
嘛綫,上线,4
汼,牛,1 4
降註册㮸888首存㮸100%,注册赠888首存100%,4
qí簰,棋牌,2 1 4
蕙,惠,1 4
茺颂,充送,1 4
驻冊,注册,1 4
宋,送,1
火狐体育,博彩平台,6
點,点,4
首茺,首充,1 4
颂,送,1
客%服,客服,10
JJ比赛,棋牌比赛,2
金币,虚拟货币,6
斗运会,赌博活动,7
赢金条大奖,赢取高价值奖品,6
evp开,赌博开盘,3
沪秒送您87￥,立即赠送您87元,6 10
免费看片,免费观看色情内容,6
国产自拍,国产色情自拍视频,6
高清无码,高清色情视频,6
主册,注册,4
宋,送,1
點,点,4
福利鼠不尽,福利数不尽,1
墭汏埰嘌,盛大彩票,4
趫汏湢悡唻菈,强大福利来啦,4
芐酨岼珆APP,下载平台APP,4
沅,元,4
渞茺咖鎹,充值返还,4
祁棑,棋牌,1 4
特撽vip,特邀会员,3 4
確認有28-999沅,确认有28-999元,4
憕559b.cc提掫,请到559b.cc提现,4
投彩,非法彩票,6
bqZ,博彩,3
其*牌*,棋牌,10
捕*鱼*,捕鱼,10
弟*主*,地主,10
暴*富,暴富,10
禮金,礼金,4
沖,充,1
宋,送,1
嚸,点,1 4
岭,领,1 4
薇,微信,1
ci0,博彩,2 10
侟,存,4
宋,送,1
金簰,棋牌,4
导蒒,导师,4
沖迦,冲加,4
網阯,网址,4
翎取,领取,4
蕞篙,最高,4
沅,元,4
茺还颂,重返送,1 6
bet365,博彩网站,3
墺迪粸牌,奥迪棋牌,4
嶺,领,4
粸牌,棋牌,4
cp9,彩票,2 10
吓崽app,下载APP,1 4
琪/排,棋牌,4 10
抓/余,捕鱼,1 6 10
葒/笣,红包,1 4 8 10
琎95y6.com,进95y6.com,1
冲了/得/588,充值得588元,1 4 8 10
砸金蛋,博彩活动,6
讯博国际,博彩平台,6
亿万奖金,高额博彩奖金,6
六合,非法彩票,6
崇/送/了/488,赠送了488元,1 8 10
鴻運禮佨,鸿运礼包,4
鼠前,数钱,1
V,微信,3
一.宵.三.鎷,夜宵三码,4 8 10
唍家,玩家,1
侟,存,1 4
反氺髙,反水高,4
粸牌,棋牌,1 4
蹴,送,4
噺用戸,新用户,4
苞嬴,包赢,1 4
逋魚,捕鱼,1 4
唫糀,金花,1 4
牜牜,牛牛,4 5
葳尼撕人,微信私人,1
嚸,点,1
豪礼800,赠送800元,6
扣扣,QQ,7
内审复核,非法操作通过考试,7
惘址,网址,1
側淞,彩金,4
菿淞,到账,1 4
愘腹,客服,1 4
太陽诚,太阳城,1 4
簰,牌,1 4
玲,领,1
網鑚平台,网站平台,4
威风,微信,1
粸牌,棋牌,1 4
蹴給,注册,4
噺用戸苞嬴,新用户包赢,4
逋魚,捕鱼,4
唫糀,金花,4
牜牜,牛牛,4
Ku【酷游】,博彩平台,3 10
开运礼/金,彩金,6 10
岭开运金,领彩金,1 4 6
頑,玩,1 4
快澸,快感,4
唻,来,1 4
柯服,客服,1
徵信,微信,4
一肖三騳,一肖三码,4
火狐,非法博彩网站,7
頌伱88體驗,送你88元体验,1 4
里品,礼品,1
BOB,博彩,3
跳车,快速转账或提现功能,7
盘多且不维护,多个赌博平台且不受监管,7
墺迪粸牌,奥迪棋牌,1 4
嶺,领,1 4
众乐淇つ棑,众乐棋牌,1 4 10
主栅宋,主站送,1 4
珫宋,赠送,1 4
琪牌,棋牌,1 4
吓栽铃,下载领,1 4
首茺,首充,1 4
杤红苞,红包,1 4
抖低注,斗地主,1 4
咋唫椛,炸金花,4
汼汼,牛牛,1 4
哺渔,捕鱼,1 4
柱册,注册,1 4
仗号,账号,1 4
噔录,登录,1 4
翎取,领取,1 4
沅,元,1 4
粸牌,棋牌,1 4
158￥,158元,10
采票,彩票,1 4
漏冻,漏洞,1 4
稳钟保赢,稳赚不赔,6
加威,加微信,1 4
荏务,任务,1 4
工姿,工资,1 4
钅戋,钱,5
vx,微信,2 3
粸牌,棋牌,1 4
贈8888,赠8888元,4
MīngChēqí*pái,名车棋牌,2 10
sòng18,送18,2 3
①氺芣限遊戱,无限游戏,4 10
沖100鎹88,充100送88,1 4
500鎹188,500送188,1 4
1000鎹288,1000送288,1 4
餸稳5稳提,送稳5稳提,1 4
電孑,电子,4
哺魚,捕鱼,1 4
棋排,棋牌,1 4
扭扭,牛牛,1
領67￥,领67元,4 10
冲值🎉Song,充值送,1 2 9
88¥赢,88元赢,10
扣,QQ,1
V',微信,3 10
嶶,微信,1 4
亞博體育,亚博体育,4
恭玺,恭喜,1
