行号,对抗性jargon,还原词
136,扎今花,炸金花
136,汼汼,牛牛
136,补渔,捕鱼
136,注卌,注册
138,浔,寻
138,ν,微信
140,絔稼乐,百家乐
140,埔渔,捕鱼
140,帧任,真人
140,咋琻埖,炸金花
140,牜妞,牛牛
140,住侧拵,注册存
141,维信,微信
142,彩唫,彩金
142,唫花,金花
142,哺渔,捕鱼
142,眞人视迅,真人视讯
143,卜漁,捕鱼
143,冲/给/386,充值386元
144,100林100,林100（可能为博彩或赌博相关术语）
144,客服妹妹,客服人员
144,域名$,域名
144,yabo1387.com,亚博（可能为博彩网站）
145,嫲/姜,麻将
145,咋巾花,炸金花
145,柏嫁勒.,百家乐
145,28～888嚸,28～888点
146,颂,送
146,哩品,礼品
147,粸牌,棋牌
147,紅笣,红包
147,朂篙,最高
148,粸牌,棋牌
148,牜牜,牛牛
148,攏俿,龙虎
148,扎琻錵,炸金花
148,贈38,赠38元
149,橄嵩垨崇,博彩守护神
149,戳,点击
150,綵神爺,彩票神爷
150,pt銭銭,PT赢钱
150,CQ9,CQ9赌博平台
150,AG国际,AG国际赌博平台
151,玛,吗
151,餸伱,送你
151,55￥,55元
153,嚸>e.d34a.cn/4f,点击链接
153,蕞镐,最高
153,克幅紷蕖cf,客服微信cf
154,評价,评价
154,快/次,元/次
155,魚多多,捕鱼多多
155,銭多多,钱多多
155,妞妞.轧今哗,妞妞炸金花
155,扑魚,捕鱼
155,蛉棷,领注
158,niuniu,牛牛
158,彪彪,炸金花
158,渔漁,捕鱼
158,秒德,秒到账
158,sòng,送
160,波,博彩
160,徽信,微信
161,杪下,秒下
161,扣,QQ
162,電孑,电子
162,捕瑜,捕鱼
162,其排,棋牌
162,扭扭,牛牛
162,領67园,领67元
163,璔送,赠送
163,大红苞,红包
163,大神教学网,赌博教学网站
164,煮.ce,注册
164,悑鲸,捕鱼
164,咋今花,炸金花
164,佰家楽,百家乐
164,钮儿丶嚸,牛牛点
165,电皖,电玩
165,莎余,杀鱼
165,骐排,棋牌
165,送①②⑦⑦⑦,送12777
165,送⑧⑧⑧,送888
166,鯆.渔,捕鱼
166,菳.錵,金花
166,扭.扭,牛牛
166,泷.唬,龙虎
166,柱策,注册
167,b,博彩
167,哺漁,捕鱼
169,JJ比赛,非法棋牌比赛
169,金币,虚拟货币用于赌博
170,僖渔佬,喜捕鱼
170,洤屛,全屏
170,禮金,礼金
170,嚸,点
171,hqbet602.com,博彩网站
171,注册送18块,注册赠送18元
171,群里$有抽奖送红包,群里有抽奖送红包
171,推荐不中包赔,推荐不中包赔
175,KY粸牌,KY棋牌
175,贈,赠
175,2OO,200
175,5OO,500
177,稳賺,稳赚
177,瀭苞,输包
177,賠本唫,赔本金
177,賺.钱,赚钱
178,韦,微信
178,包一消,包夜消费
178,茽姐,总姐
178,包培,包陪
180,其排,棋牌
180,宋,送
180,岭,领
181,１８-８８８８,188888
181,領专“鼠”福利,领专属福利
184,6盒,六合彩
184,新（√）,微信
186,亚搏,赌博
186,稳单,稳定的赌注
187,bu渔,捕鱼
187,鑫錵,金花
187,祝测,注册
187,必㮸,必中
188,3487.com,可能为非法网站链接
189,55￥,55元
189,3830k.com,非法网站链接
190,实荔品哌珠策,实力品牌彩票
190,杁,网址
191,粸牌,棋牌
191,贈8888,赠8888元
191,vjh,未知混淆策略，可能为某种平台或服务的代号
192,劳力士,Rolex（可能为假冒产品）
192,百达翡丽,Patek Philippe（可能为假冒产品）
192,欧米茄,Omega（可能为假冒产品）
192,LV,Louis Vuitton（可能为假冒产品）
192,古奇,Gucci（可能为假冒产品）
192,爱马仕,Hermès（可能为假冒产品）
193,粸牌,棋牌
193,嶺,领
194,岀姿,出资
194,历,力
194,邦玳构綵嘌,帮代购彩票
194,玥扖倆杤,月入两万
195,稘俳,棋牌
195,轧菳埖,炸金花
195,哺雨,捕鱼
195,巃琥,龙虎
196,鯆余,捕鱼
196,钭哋柱,斗地主
196,琻哗,金花
196,杤人,玩人
198,ＱＱ群,QQ群
199,放窾鵝度,贷款额度
199,伸请,申请
201,园,元
201,登,登录
202,采票,彩票
202,漏冻,漏洞
202,稳钟保赢,稳赚不赔
202,加威,加微信
203,稳賺,稳赚
203,瀭苞,输包
203,唫,金
203,賺.钱,赚钱
203,理財,理财
204,カロ,加我
204,V,微信
204,一肖三騳,非法彩票信息
205,6閤踩,六合彩
205,淇,期
205,靓釹佳微,靓女加微信
205,絻費,免费
205,狩费,收费
206,和多号,赌博平台
206,副号,备用联系方式
207,鴻運新遊,鸿运新游戏
207,禮金,彩金
207,沖,充
207,宋,送
207,雙重工資,双重奖金
208,勃时喷剂,勃起喷剂
208,精油延长时间,延时精油
209,主策聆,注册
209,琻,金
209,媞,是
209,寸,存
209,宋,送
209,一水Q,一水群
210,粸牌,棋牌
210,贈678,赠678
212,扎金椛,炸金花
212,卜魚,捕鱼
212,笼虍,龙虎
212,吽吽,牛牛
212,攸戏,游戏
212,下傤,下载
212,葱贝,充值
212,曾,赠
213,hqbet500.com,博彩网站
213,注册送18块,注册赠送18元
213,名额有@限,名额有限
213,免单一百赔一百,免单100赔100
213,精准推荐不中包赔,精准推荐不中包赔
218,伍佰Wx,500元微信
219,粸牌,棋牌
219,贈888,赠888元
223,贷款申请审核以通过,诈骗贷款申请通过
223,在线客服,诈骗客服
225,帺徘,棋牌
225,注卌,注册
225,松,送
227,徽信,微信
227,提款,提现
229,充/给/369,充值369
230,主册,注册
230,宋,送
230,既有,即可
231,啋琻,彩金
231,剋服,客服
233,AG,AG平台（博彩平台）
233,电子,电子博彩游戏
233,QP,棋牌
233,B鱼,捕鱼
233,菜金,彩金
234,粸牌,棋牌
234,贈888圆福莉,赠888元福利
234,補渔,捕鱼
234,扎琻椛,炸金花
234,犇牪,牛牛
235,粸牌,棋牌
235,158￥,158元
236,q到,起到
237,旗棑,棋牌
237,佰加勒,百家乐
237,卜渔,捕鱼
237,逗第煮,斗地主
237,笼唬,龙虎
237,今花,金花
237,柱册,注册
237,匆,充
237,颂,送
238,赚零花,通过阅读资讯获得小额奖励
238,金币,虚拟货币或积分
242,骑︱派,棋牌
242,珠策,注册
242,偍岘妙道,提现秒到
242,宠①00送①00,充100送100
242,补余,捕鱼
242,纽钮,牛牛
242,今花,金花
243,垹,帮
243,掟,定
243,宋,送
243,嚸,点
244,呺,号
244,鎹,送
244,氺,水
244,伶,领
245,采票,彩票
245,計劃,计划
245,俬帶,私带
245,＋V,加微信
246,賺,赚
246,瀭苞,输包
246,唫,金
246,理財,理财
247,米乐,米乐博彩平台
247,邀沖,邀请充值
247,宋,送
247,躰淯,体育
247,苞培,包赔
247,球球,QQ
248,威ni斯,威尼斯人
248,苹台,平台
248,伙动转员,活动专员
249,偅汏潑哯,重大活动
249,巳晉圱V·I·P嘉濱,已晋升VIP嘉宾
249,憕叺,请进
249,掫555囩,赠555元
250,九龙至尊,赌博网站
250,仲,中
250,V.╳,微信
251,咋金誮,炸金花
251,逋魚,捕鱼
251,龙虒,龙虎
251,妞妞,牛牛
251,住策,注册
251,贈68,赠68元
251,葱贈2888,赠送2888元
252,73901.net,赌博网站
252,16622925004,可能为联系号码
254,咋金椛,炸金花
254,妞妞,牛牛
254,逋魚,捕鱼
254,立缯,立赠
254,沅,元
254,沖,充
254,增,赠
254,瞪碌,登录
255,钭底注,斗地主
255,汼汼,牛牛
255,哺渔,捕鱼
255,咋唫椛,炸金花
256,賺,赚
256,瀭苞,输包
256,唫,金
256,理財,理财
257,豫饹,娱乐
257,汼汼,牛牛
257,百+楽,百乐
257,龍唬,龙虎
257,澧苞,礼包
258,芫,元
258,領,领
260,茺,充
260,餸,送
260,铃取,领取
262,采神丸,彩票
262,采票漏冻,彩票漏洞
262,稳钟保赢,稳赚不赔
262,加威,加微信
263,采票,彩票
263,叁万,三万
263,+V,+微信
264,諆簰,棋牌
264,白鎵樂,百家乐
264,仆漁,捕鱼
264,胧俿,龙虎
265,cp,彩票
265,包婄,包赔
265,佳薇,加微信
267,抖低注,斗地主
267,汼汼,牛牛
267,咋唫椛,炸金花
267,哺渔,捕鱼
267,电仔网扯,电子网站
268,戚铌嘶,棋牌
268,柱卌,注册
268,拵宋,存送
268,玲取,领取
269,麒☼牌,棋牌
269,蹴☼岭,注册
269,苞☼嬴,包赢
269,逋☼魚,捕鱼
269,唫☼糀,金花
269,牜☼牜,牛牛
272,幅俐,福利
272,柱策镬,注册活动
272,卜🐟,捕鱼
272,牪今🌺眞人,现金真人
272,缇,提
273,噔录,登录
273,翎取797沅,领取797元
274,粸牌,棋牌
274,紅笣,红包
274,朂篙,最高
275,墺迪粸牌,澳迪棋牌
275,嶺,领
276,湃,派
276,菿,到
276,確認,确认
276,獲嘚,获得
276,え,元
276,可堤,可提
276,尨虒蚪,蒙特卡罗
276,祚釙芘,炸金花
276,兜哋拄,斗地主
276,奔池寳,奔驰宝
276,骉镁め帯,宝马美带
276,伱嗨,你嗨
277,豪礼x到,豪礼送到
278,珈徽,加微信
278,长骐б个号数,长期保号
278,京喜,惊喜（可能指非法优惠或奖励）
279,国彩,非法彩票
279,陪率,赔率
279,彩鑫,彩金
280,崴尼斯人,威尼斯人
280,㤆水,返水
280,入款,存款
283,粸牌,棋牌
283,贈,赠
283,紅笣,红包
283,朂篙,最高
285,亚搏岭,亚博博彩
285,娶58体验,取58元体验
285,拇指戳,点击
287,瑨升,晋升
287,確认,确认
287,獲嘚,获得
287,缇,提
287,錵,花
287,逋渔,捕鱼
287,拢虒,龙虎
287,扭纽,牛牛
287,MM,美女
289,冲业/务,刷业务
289,V信,微信
290,天猫彩店,非法彩票店
290,APP闪退,应用程序故障
291,纽钮,牛牛
291,今花,金花
291,絔家嘞,百家乐
291,崧,送
291,戦,战
293,爱购彩,非法彩票
293,现唫,现金
293,碦服,客服
293,网扯,网址
294,至尊号,高级会员账号
294,礼包码,优惠码
295,粸簰,棋牌
295,嘉滨,嘉宾
295,嶺,领
296,w威,微信
296,倛-尼︱馈︱籽︱排,棋牌
296,斯︱客︱遊︱卜,捕鱼
296,鮽铳100赠88,充值100赠88
297,琪牌,棋牌
297,領取,领取
298,９粸牌,棋牌
298,红苞,红包
298,鲍鮽,捕鱼
298,妞妞,牛牛
298,瀛,赢
298,領,领
300,亚盘,亚洲盘口
300,乐都城,博彩网站
301,註冊,注册
301,宋58亞博體驗,送58亚博体验
301,穩單,稳单
302,玛,码
302,餸伱,送你
302,55￥,55元
303,库搏軆育,库博体育
303,炮迷,博彩迷
304,手游,手机游戏赌博
304,棋开得胜,赌博胜利
304,朂高,最高
305,徽信,微信
306,奧閄帾畼,澳门赌场
306,䋞上伯嫁楽,线上百家乐
306,荖唬僟,老虎机机
306,冲植贈,充值赠
307,玛,吗
307,餸伱,送你
307,55￥,55元
307,Ln1,加微信
309,亞搏,亚博
309,註冊,注册
309,頌,送
309,福禮,福利
312,特遥v1p,特邀VIP
312,佰十乐,百家乐
312,妙提妙到,秒提秒到
313,乐娱,乐娱
313,苹苔,平台
313,柱冊,注册
313,熷,赠
313,兌,兑
314,及时雨,贷款或资金服务
314,客服Q,客服QQ
315,祈.福.礼,博彩活动
315,晶..伴.您.前.行,博彩网站宣传
316,粸牌,棋牌
316,ygT,游戏厅
318,储备金,贷款或资金诈骗
318,戳,点击
318,翎,零
319,其棑,棋牌
319,补余,捕鱼
319,琻椛,金花
319,視训,视讯
319,茺宋,充值送
319,驻冊宋,注册送
321,其簰,棋牌
321,註冊,注册
321,頌,送
321,卟漁,捕鱼
321,絔嘉泺,百家乐
321,咋唫誮,炸金花
321,汼汼,牛牛
322,屠龙科技,可能为地下产业相关公司名称
322,vip会员,会员
322,mfgbr.com/48,可能为非法平台链接
323,亞搏,亚博
323,首侟,首存
323,紅利,红利
323,稳单,稳定的赌单
323,好運,好运
325,粸牌,棋牌
325,芫,元
325,嶺,领
326,佣戸,用户
326,反力,返利
326,戳06ti.cn/dd,点击链接06ti.cn/dd
326,虚得ek,虚的ek
329,赚大钱,赌博盈利
329,hqbet615.com,博彩网站
330,惘址,网址
330,注,注册
330,側淞,彩金
330,签@,签到
330,菿淞,到账
330,愘,客服
330,腹办,副本
330,哩「太陽诚」,里“太阳城”
332,采票,彩票
332,棈痽計劃,精准计划
332,俬帶,私带
332,裙,群
332,威,微信
334,磴路,登陆
334,紷,送
334,qu18-168,网址
334,戳tp6b.cn/3daw,点击链接
336,粸牌,棋牌
336,咋金誮,炸金花
336,逋魚,捕鱼
336,龙虒,龙虎
336,䒜䒜,牛牛
336,蝣戏,游戏
336,守冲,首充
337,菳,金
337,虾傤,下载
337,住册,注册
337,扑雨,捕鱼
337,视汛,视讯
337,尨錿,麻将
337,百佳勒,百家乐
337,黑紅,黑红
337,扭妞,牛牛
337,珄-垏-膏,新-开-高
340,兜笛竹,斗地主
340,布渝,捕鱼
341,徕僦诵,来就送
341,卟余,捕鱼
341,妞妞都蒂祝,牛牛斗地主
342,点2vj.cn/5PZR55,点击链接
342,回T退订,回复T退订
343,盈哆哆,赢多多
343,俞哆哆,余多多
343,嫲江,麻将
343,珑hu,龙虎
345,①①⑦元,117元
345,799325.cn,可能为钓鱼网站或非法活动链接
347,App33538.biz,可能为非法博彩或诈骗网站链接
349,玛,码
349,餸伱,送你
349,55￥,55元
350,墺迪粸牌,奥迪棋牌
350,嶺,领
351,唫硰,金沙
351,帾塲,赌场
351,澚門噺匍椋,澳门新葡京
351,刌,存
351,牜牜,牛牛
351,哺魚,捕鱼
351,斗哋宔,斗地主
352,旗牌,棋牌
352,洦万荭包,百万红包
352,点客网扯,点击网址
353,柱冊,注册
353,宋,送
353,寸,存
354,亚搏,亚博
354,住册岭,注册领
354,推健,推荐
356,㮸,加
356,え,群
357,錢多多,钱多多
357,镁妞,美女
357,牪,牛
357,錵,花
357,哺渝,捕鱼
357,札琻,炸金花
357,沅,元
358,琪棑,棋牌
358,佰枷勒,百家乐
358,汼汼,牛牛
358,哺渔,捕鱼
358,抖第祖,斗地主
358,泷唬,龙虎
358,唫椛,金花
358,祝册颂,注册送
358,茺100松28,充100送28
359,罔红,网红
359,刓,玩
359,平苔,平台
359,驻册,注册
359,满即提,满足条件即可提现
361,新/葡/京,新葡京
361,注卌,注册
361,茺值,充值
362,苞賠,包赔
362,茺,充
362,䒚,多
364,葳苨䔮,微信
364,戳,点击
364,AРР,APP
364,贈１５,赠15元
364,首充贈１００%,首次充值赠送100%
364,老俿机,老虎机
364,粸牌㩐遊戯,棋牌类游戏
365,粸牌,棋牌
365,咋金誮,炸金花
365,逋魚,捕鱼
365,龙虒,龙虎
365,䒜䒜,牛牛
365,蝣戏,游戏
365,下傤,下载
365,贈609,赠送609
365,守冲贈100%,首充赠送100%
366,鱼潮来了,捕鱼游戏
368,亚搏88,亚博博彩
368,戳,点击
368,领娶,领取
368,推单,推荐投注单
370,玛,吗
370,餸伱,送你
370,55￥,55元
371,琪|排|岼珆,棋牌
371,牜|牜,牛牛
371,斤|花,金花
371,鎹③③③oRul,送333元
374,粸牌,棋牌
374,得158￥,得158元
375,葳尼撕人,微信私人
375,商务伴侣,陪侍服务
376,顽法,玩法
376,冕領,领取
376,９９９+,999元
377,葒苞,红包
377,贈678圆,赠678元
377,牜牜,牛牛
377,哺魚,捕鱼
377,斗哋宔,斗地主
378,粸簰,棋牌
378,彩金,博彩奖金
378,invk.cc/s/1h6X,博彩网站链接
379,泳鹏,永鹏
379,微信xzy3668,微信号 xzy3668
380,宋,送
380,拾中久,十中九
380,蹬路,登录
381,粸牌,棋牌
381,嶺,领
382,淇排,棋牌
382,卟鱼,捕鱼
382,抖帝驻,斗地主
382,砸精花,炸金花
384,【为/尼/斯】,威尼斯人
384,8863168.com,赌博网站
385,惘址,网址
385,注,注册
385,側淞,彩金
385,菿淞,到彩金
385,愘,客服
385,腹办,副本
385,哩,里
385,太陽诚,太阳城
386,彩金,博彩赠款
386,包赔,保证赔偿
387,qi徘,棋牌
387,嶺,领
388,旗簰,棋牌
388,渔佈,捕鱼
388,妞纽,牛牛
388,地抖主,斗地主
388,茄百楽,百家乐
388,錵菳,花金
388,莱颂,来送
389,粉丝充场,虚假观众或参与者
389,微信17310085254,微信联系方式
390,麒排,棋牌
390,囎,赠
390,栢嘉嘞,百家乐
390,電/子,电子
390,题现妙/到,提现秒到
392,Whatsthesimplestmеаnstoearn56766amonth,What is the simplest means to earn 56766 a month
392,darknesstr.com,可能为非法或地下产业相关网站
393,苔诵,台送
393,冲诵,充值送
394,美/高/梅,美高梅
394,柱卌茺值彩唫,注册充值彩金
394,+/：vs38678铃取,添加微信：vs38678领取
395,旗牌,棋牌
395,客网扯,官网
395,洦万荭包,百万红包
396,HiTY镁,会员
396,逋,捕
396,淦钕,捕鱼
396,鲨,杀
396,埖再,花呗
396,䒜,菜
396,嘛綫,上线
396,汼,牛
396,降註册㮸888首存㮸100%,注册赠888首存100%
400,qí簰,棋牌
400,蕙,惠
400,茺颂,充送
400,驻冊,注册
400,宋,送
401,火狐体育,博彩平台
401,點,点
401,首茺,首充
401,颂,送
401,客%服,客服
402,JJ比赛,棋牌比赛
402,金币,虚拟货币
402,斗运会,赌博活动
402,赢金条大奖,赢取高价值奖品
403,evp开,赌博开盘
403,沪秒送您87￥,立即赠送您87元
405,免费看片,免费观看色情内容
405,国产自拍,国产色情自拍视频
405,高清无码,高清色情视频
408,主册,注册
408,宋,送
408,點,点
409,lg**_g,可能指代某个博彩或赌博平台
409,福利鼠不尽,福利数不尽
412,墭汏埰嘌,盛大彩票
412,趫汏湢悡唻菈,强大福利来啦
412,芐酨岼珆APP,下载平台APP
412,沅,元
412,渞茺咖鎹,充值返还
414,祁棑,棋牌
414,特撽vip,特邀会员
414,確認有28-999沅,确认有28-999元
414,憕559b.cc提掫,请到559b.cc提现
416,投彩,非法彩票
416,bqZ,博彩
417,其*牌*,棋牌
417,捕*鱼*,捕鱼
417,弟*主*,地主
417,暴*富,暴富
419,禮金,礼金
419,沖,充
419,宋,送
419,嚸,点
419,岭,领
420,薇,微信
420,ci0,博彩
423,侟,存
423,宋,送
423,金簰,棋牌
423,导蒒,导师
423,沖迦,冲加
423,網阯,网址
425,翎取,领取
425,蕞篙,最高
425,沅,元
425,茺还颂,重返送
426,bet365,博彩网站
426,bet456.com,博彩网站
426,456551.vip,博彩网站备用链接
427,墺迪粸牌,奥迪棋牌
427,嶺,领
428,粸牌,棋牌
428,cp9,彩票
429,吓崽app,下载APP
429,琪/排,棋牌
429,抓/余,捕鱼
429,葒/笣,红包
429,琎95y6.com,进95y6.com
430,冲了/得/588,充值得588元
431,砸金蛋,博彩活动
431,wkcp678.com,非法博彩网站
432,讯博国际,博彩平台
432,亿万奖金,高额博彩奖金
433,六合,非法彩票
434,崇/送/了/488,赠送了488元
435,鴻運禮佨,鸿运礼包
435,鼠前,数钱
437,V,微信
437,一.宵.三.鎷,夜宵三码
439,唍家,玩家
439,侟,存
439,反氺髙,反水高
440,粸牌,棋牌
440,蹴,送
440,噺用戸,新用户
440,苞嬴,包赢
440,逋魚,捕鱼
440,唫糀,金花
440,牜牜,牛牛
441,葳尼撕人,微信私人
441,会员,会员
442,嚸,点
442,豪礼800,赠送800元
443,扣扣,QQ
443,内审复核,非法操作通过考试
445,惘址,网址
445,側淞,彩金
445,菿淞,到账
445,愘腹,客服
445,太陽诚,太阳城
446,簰,牌
446,玲,领
447,網鑚平台,网站平台
447,威风,微信
448,粸牌,棋牌
448,蹴給,注册
448,噺用戸苞嬴,新用户包赢
448,逋魚,捕鱼
448,唫糀,金花
448,牜牜,牛牛
450,Ku【酷游】,博彩平台
450,开运礼/金,彩金
450,岭开运金,领彩金
451,頑,玩
451,快澸,快感
451,唻,来
451,柯服,客服
452,徵信,微信
452,一肖三騳,非法彩票中奖信息
453,火狐,非法博彩网站
453,頌伱88體驗,送你88元体验
453,里品,礼品
454,BOB,博彩
454,跳车,快速转账或提现功能
454,盘多且不维护,多个赌博平台且不受监管
455,墺迪粸牌,奥迪棋牌
455,嶺,领
456,众乐淇つ棑,众乐棋牌
456,主栅宋,主站送
456,珫宋,赠送
459,琪牌,棋牌
459,吓栽铃,下载链接
459,首茺,首充
459,杤红苞,红包
459,抖低注,斗地主
459,咋唫椛,炸金花
459,汼汼,牛牛
459,哺渔,捕鱼
459,柱册,注册
461,仗号,账号
461,噔录,登录
461,翎取,领取
461,沅,元
462,粸牌,棋牌
462,158￥,158元
464,采票,彩票
464,漏冻,漏洞
464,稳钟保赢,稳赚不赔
464,加威,加微信
467,荏务,任务
467,工姿,工资
467,钅戋,钱
467,vx,微信
468,和多号副号,可能指代用于隐蔽通信的备用号码
469,粸牌,棋牌
469,贈8888,赠8888元
473,MīngChēqí*pái,名车棋牌
473,sòng18,送18
474,①氺芣限遊戱,无限游戏
474,沖100鎹88,充100送88
474,500鎹188,500送188
474,1000鎹288,1000送288
474,餸稳5稳提,送稳5稳提
474,Q：1264012488,QQ：1264012488
477,電孑,电子
477,哺魚,捕鱼
477,棋排,棋牌
477,扭扭,牛牛
477,領67￥,领67元
478,Y🃏B,赌博
478,冲值🎉Song,充值送
478,88¥赢,88元赢
478,扣,QQ
478,V',微信
